Invoice #,Date,Customer Code,Customer Name,Subtotal,Calculated,Match?,# Items,Salesperson,Doc Total
818450,05/08/25,1766,W.E. BOW,5134.71,5134.71,True,6,CA,5442.79
818451,05/08/25,1273MA,STRUCTUR,185.25,185.25,True,2,JA,185.25
818452,05/08/25,1766,W.E. BOW,244.41,244.41,True,2,CA,259.07
818453,05/08/25,1766,W.E. BOW,5584.44,5584.44,True,8,CA,5919.51
818454,05/08/25,824,PRO-AIR,429.0,429.0,True,1,J2V,454.74
818455,05/09/25,1766VA,W.E. BOW,209.7,209.7,True,1,CA,222.28
818456,05/09/25,1766VA,W.E. BOW,3.98,3.98,True,1,CA,4.22
818457,05/09/25,1766VA,W.E. BOW,114.47,114.47,True,2,CA,121.34
818458,05/08/25,1653,VARCO MA,475.0,475.0,True,1,JV,503.5
818459,05/08/25,824,PRO-AIR,139.7,139.7,True,3,J2V,148.08
818460,05/08/25,1766,W.E. BOW,498.26,498.26,True,7,CA,528.16
818461,05/08/25,1273,STRUCTUR,921.7,921.7,True,2,JA,977.0
818462,05/08/25,1766,W.E. BOW,999.0,999.0,True,1,CA,1058.94
818463,05/08/25,473,THARCO I,165.0,165.0,True,1,JV,174.9
818464,05/09/25,674,CAMERON,416.0,416.0,True,2,J2V,440.96
818465,05/08/25,1397,ELECTRIC,225.0,225.0,True,8,JS,238.5
818466,05/09/25,55,DYNALECT,94.0,94.0,True,2,JV,99.64
818467,05/08/25,1207,WHITING,53.97,53.97,True,3,CA,57.21
818468,05/09/25,55,DYNALECT,149.4,149.4,True,1,JV,158.36
818469,05/08/25,55,DYNALECT,1552.9,1552.9,True,7,JV,1646.07
818470,05/08/25,1110,CULBERTS,869.4,869.4,True,9,RO,921.56
818471,05/08/25,112,COMMERCI,828.91,828.91,True,9,RO,878.64
818472,05/09/25,55,DYNALECT,573.0,573.0,True,2,JV,607.38
818473,05/09/25,55,DYNALECT,0.0,0,True,0,JV,0.0
818474,05/08/25,1015,L. F. JE,917.08,917.08,True,5,JV,972.1
818475,05/09/25,17,CLARK CO,882.0,882.0,True,1,HW,934.92
818476,05/08/25,17,CLARK CO,71.7,71.7,True,1,HW,76.0
818477,05/09/25,17,CLARK CO,118.0,118.0,True,1,HW,125.08
818478,05/08/25,1711,THE POOL,60.0,60.0,True,1,JS,63.6
818479,05/08/25,1400,PAUL J.,669.34,669.34,True,6,JS,709.5
818480,05/08/25,1015,L. F. JE,428.49,428.49,True,3,JV,454.2
818481,05/09/25,469,EMJAY CO,6798.0,6798.0,True,1,MS,7205.88
818482,05/09/25,1711,THE POOL,36.0,36.0,True,2,JS,38.16
818483,05/09/25,55,DYNALECT,892.45,892.45,True,10,JV,946.0
818484,05/09/25,17,CLARK CO,433.5,433.5,True,2,HW,459.51
818485,05/08/25,870,YU SUPPL,400.6,400.6,True,8,JS,424.64
818486,05/08/25,840,INFRASTR,248.55,248.55,True,7,JA,265.02
818487,05/08/25,1548,J.E. RIC,6036.0,6036.0,True,1,RO,6398.16
818488,05/08/25,1548,J.E. RIC,4381.0,4381.0,True,3,RO,4643.86
818489,05/08/25,1156,W & W EL,88.5,88.5,True,2,RO,93.81
818490,05/09/25,1156,W & W EL,55.3,55.3,True,8,RO,58.62
818491,05/08/25,649,MCGUIRE,179.0,179.0,True,1,J2V,189.74
818492,05/08/25,1397,ELECTRIC,26.4,26.4,True,2,JS,27.98
818493,05/08/25,1711,THE POOL,412.5,412.5,True,1,JS,437.25
818494,05/09/25,144,JOHNSTON,123.1,123.1,True,4,HB,130.49
818495,05/08/25,113,ALLIANCE,57.43,57.43,True,2,HW,57.43
818496,05/08/25,261,BARCO EN,407.51,407.51,True,2,HB,431.96
818497,05/08/25,1397,ELECTRIC,460.95,460.95,True,5,JS,488.61
818498,05/08/25,1024,MERRITT,209.0,209.0,True,1,HB,221.54
818499,05/09/25,469,EMJAY CO,2819.0,2819.0,True,1,MS,2988.14
818500,05/08/25,113,ALLIANCE,40.86,40.86,True,2,HW,40.86
818501,05/08/25,483,PREMIER,29.5,29.5,True,1,CA,31.27
818502,05/08/25,710,MCLEAN C,65.9,65.9,True,1,JA,69.85
818503,05/08/25,1273,STRUCTUR,83.8,83.8,True,2,JA,88.83
818504,05/08/25,1397,ELECTRIC,87.7,87.7,True,3,JS,92.96
818505,05/08/25,314,CHESAPEA,269.0,269.0,True,1,CA,285.14
818506,05/09/25,144,JOHNSTON,201.98,201.98,True,3,HB,214.1
818507,05/08/25,1641,CONSOLID,189.75,189.75,True,2,RO,201.14
818508,05/08/25,400,CASTLE S,299.0,299.0,True,1,JV,316.94
818509,05/08/25,113,ALLIANCE,288.0,288.0,True,2,HW,288.0
818510,05/08/25,1397,ELECTRIC,80.25,80.25,True,7,JS,85.07
818511,05/08/25,144,JOHNSTON,31.0,31.0,True,2,HB,32.86
818512,05/08/25,784,ATLANTIC,708.54,708.54,True,4,HB,708.54
818513,05/08/25,229,HUMPHREY,409.98,409.98,True,2,HB,434.58
818514,05/08/25,122LC,CONCRETE,344.0,344.0,True,2,RO,364.64
818515,05/08/25,1766,W.E. BOW,247.2,247.2,True,2,CA,262.03
818516,05/08/25,1015,L. F. JE,469.4,469.4,True,2,JV,497.56
818517,05/08/25,45,ARICA CO,87.4,87.4,True,2,CA,92.64
818518,05/08/25,310,DJ'S UND,125.95,125.95,True,2,HB,133.51
818519,05/08/25,1422,POTOMAC,335.9,335.9,True,3,CA,356.05
818520,05/08/25,1422,POTOMAC,184.95,184.95,True,1,CA,196.05
818521,05/08/25,1422,POTOMAC,233.55,233.55,True,2,CA,247.56
818522,05/08/25,824,PRO-AIR,836.0,836.0,True,1,J2V,886.16
818523,05/08/25,1422,POTOMAC,141.9,141.9,True,3,CA,150.41
818524,05/08/25,1422,POTOMAC,330.25,330.25,True,3,CA,350.07
818525,05/08/25,193,EAST COA,115.0,115.0,True,1,CA,121.9
818526,05/08/25,193,EAST COA,45.0,45.0,True,1,CA,47.7
818527,05/08/25,1539,C.A. LIN,22.0,22.0,True,1,RO,23.32
818528,05/08/25,1332,CARROLL,3113.2,3113.2,True,10,JS,3299.99
818529,05/08/25,859,T&B ELEC,1116.0,1116.0,True,3,JV,1182.96
818530,05/08/25,1695,MACE ENT,120.0,120.0,True,1,HB,127.2
818531,05/08/25,1641,CONSOLID,316.0,316.0,True,1,RO,334.96
818532,05/08/25,1698,CHOICE R,1986.5,1986.5,True,4,JA,2105.69
818533,05/08/25,128,WILLIS C,151.96,151.96,True,2,HW,161.08
818534,05/08/25,314,CHESAPEA,89.7,89.7,True,1,CA,95.08
818535,05/08/25,830,THE DURA,139.9,139.9,True,2,MS,148.29
818536,05/08/25,206,FREEDOM,553.8,553.8,True,2,CA,587.03
818537,05/08/25,1738,KARON MA,925.96,925.96,True,3,JS,981.52
818538,05/08/25,1041,A S I,4669.8,4669.8,True,5,HB,4949.99
818539,05/08/25,422,SCOTT A.,122.0,122.0,True,2,RO,129.32
